대피소 상세주소,Latitude,Longitude,최대수용가능인원,대피소 명칭,공간정보관리번호
서울특별시 강남구 도산대로 125,37.5177172,127.0219431,10,신사역 8번출구 버스정류장 그린스마트쉼터,1301
서울특별시 강남구 도산대로 532,37.5243529,127.051588,10,프리마호텔 버스정류장 그린스마트쉼터2,1302
서울특별시 강남구 학동로 425,37.5187271,127.0470845,10,강남구청 버스정류장 그린스마트쉼터2,1303
서울특별시 강남구 도산대로 305,37.5221478,127.0345626,10,도산공원사거리 버스정류장 그린스마트쉼터,1304
서울특별시 강남구 학동로 426,37.5175686,127.0474869,10,강남구청 버스정류장 그린스마트쉼터1,1305
서울특별시 강남구 압구정로 343,37.5285614,127.0400548,10,한양아파트 버스정류장 그린스마트쉼터,1306
서울특별시 강남구 도산대로 157,37.519028,127.0256272,10,신사동고개 버스정류장 그린스마트쉼터,1307
서울특별시 강남구 도산대로 306,37.5213863,127.0349225,10,제일은행 버스정류장 그린스마트쉼터,1308
서울특별시 강남구 학동로 337,37.5170607,127.0399247,10,강남구청역 버스정류장 그린스마트쉼터2,1309
서울특별시 강남구 도산대로 217,37.5208373,127.0305484,10,신사동교회 버스정류장 그린스마트쉼터,1310
서울특별시 강남구 도산대로 218,37.5202374,127.0307979,10,언북중학교 입구 버스정류장 그린스마트쉼터,1311
서울특별시 강남구 도산대로 327,37.5231166,127.0375869,10,씨네시티앞 버스정류장 그린스마트쉼터,1312
서울특별시 강남구 도산대로 330,37.5224488,127.038113,10,영동119안전센터 버스정류장 그린스마트쉼터,1313
서울특별시 강남구 학동로 336,37.5164084,127.0396581,10,강남구청역 버스정류장 그린스마트쉼터1,1314
서울특별시 강남구 도산대로 442,37.5233934,127.0436578,10,차병원차움 버스정류장 그린스마트쉼터,1315
서울특별시 강남구 도산대로 513,37.5248231,127.0493705,10,프리마호텔 버스정류장 그린스마트쉼터1,1316
서울특별시 강남구 학동로 308,37.5154437,127.0364373,10,세관앞 버스정류장 그린스마트쉼터,1317
서울특별시 강남구 도산대로 443,37.5242224,127.0444415,10,농협앞 버스정류장 그린스마트쉼터,1318
서울특별시 강남구 도산대로 158,37.5184589,127.0260517,10,신사동고개 버스정류장 그린스마트쉼터,1319
서울특별시 강남구 도산대로 120,37.5167376,127.02188,10,신사역 1번출구 버스정류장 그린스마트쉼터,1320
서울특별시 강남구 테헤란로 207,37.5016667,127.0385582,10,"아가방빌딩, 하나은행 버스정류장 그린스마트쉼터",1321
서울특별시 강남구 테헤란로 408,37.5045198,127.0502854,10,선릉역 버스정류장 그린스마트쉼터,1322
강북구 오현로 25나길 92(번동),37.6256007,127.0332495,60,오동 경로당,1323
서울특별시 강남구 테헤란로 134,37.4994355,127.0335909,10,"역삼역, 포스코타워 역삼 버스정류장 그린스마트쉼터",1324
서울특별시 강남구 학동로 106,37.511138,127.0225961,10,영동시장 버스정류장 그린스마트쉼터,1325
서울특별시 강남구 학동로 171,37.5141299,127.0291812,10,"논현동사거리, 학동역 버스정류장 그린스마트쉼터",1326
서울특별시 강남구 테헤란로 517,37.5085949,127.0597186,10,"한국무역센터, 삼성역 버스정류장 그린스마트쉼터",1327
서울특별시 강남구 테헤란로 413,37.5055761,127.0511422,10,선릉역 버스정류장 그린스마트쉼터,1328
서울특별시 강남구 테헤란로 528,37.5081321,127.0619116,10,"한국무역센터, 삼성역 버스정류장 그린스마트쉼터",1329
서울특별시 강남구 테헤란로 507,37.5078089,127.0576374,10,포스코사거리 버스정류장 그린스마트쉼터,1330
서울특별시 강남구 테헤란로 308,37.5041073,127.0475882,10,"서울상록회관, 한국기술센터 버스정류장 그린스마트쉼터",1331
서울특별시 강남구 테헤란로 443,37.507038,127.0555548,10,포스코 건너편 버스정류장 그린스마트쉼터,1332
서울특별시 강남구 테헤란로 306,37.5025912,127.0441026,10,"한국자산신탁, 센터필드 버스정류장 그린스마트쉼터",1333
"강동구 상암로 11 , 113-401(암사동, 선사현대아파트)",37.5524251,127.1257323,56,선사현대아파트경로당,1334
강북구 솔샘로 277-1(미아동),37.618829,127.0234347,40,솔샘길 경로당,1335
강북구 삼양로60길 23(미아동),37.6270148,127.0196053,30,미동 경로당,1336
"강동구 상일로 74 , 335-802(상일동, 고덕리엔파크3단지)",37.557163,127.1765357,30,고덕리엔파크3단지경로당,1337
강서구 허준로 30,37.5695093,126.844772,20,가양1동 주민센터,1338
강서구 허준로 93,37.5673449,126.8512857,20,가양2동 주민센터,1339
강서구 금낭화로24길 5,37.5787056,126.813676,20,방화3동 주민센터,1340
"강동구 명일로10나길 5 , 선린경로당(둔촌동)",37.5315148,127.1445846,40,선린경로당,1341
강서구 등촌로 143,37.542666,126.8625233,20,등촌2동 주민센터,1342
강동구 풍성로45길 11,37.5315061,127.1299474,42,안말경로당,1343
강북구 도봉로 96나길 9-1(번동),37.6390549,127.0323993,30,샛강 경로당,1344
강서구 방화대로 330,37.5590009,126.8167292,20,방화1동 주민센터,1345
강서구 우현로 34,37.5482678,126.8418504,30,우장산동 주민센터,1346
강서구 허준로 202,37.5610638,126.8606001,20,가양3동 주민센터,1347
강서구 양천로67가길 63,37.5537583,126.8709683,20,염창동 주민센터,1348
강서구 곰달래로 79,37.5304826,126.8415998,20,화곡1동 주민센터,1349
강서구 강서로47길 54,37.5531502,126.8331822,20,발산1동 주민센터,1350
관악구 남부순환로200다길 7,37.4825858,126.9364886,80,신본경로당,1351
강서구 공항대로53가길 55,37.5558238,126.8589361,20,등촌1동 주민센터,1352
"광진구 자양로37길 85(구의2동, 소능경로당)",37.5476532,127.0859492,40,소능경로당,1353
구로구 구일로4길 57,37.4930394,126.8758097,20,구로1동주민센터,1354
구로구 중앙로15길 22,37.5067037,126.8585765,20,고척2동 주민센터,1355
강서구 곰달래로25길 45,37.5327086,126.8484029,20,화곡8동 주민센터,1356
"광진구 자양로47길 9-4(구의2동, 아차산경로당)",37.5521735,127.0916435,30,아차산경로당,1357
관악구 국회단지21길 14,37.490288,126.9414847,80,국지경로당,1358
관악구 난곡로 110,37.4648455,126.9198509,300,신림종합사회복지관,1359
강서구 곰달래로37길 13,37.5318626,126.8545007,20,화곡2동주민센터,1360
강서구 화곡로 312,37.551832,126.8500523,30,화곡6동주민센터,1361
